"","PbPL_names","PbPL_info","lon","lat"
"1","운암공영주차장","오산시 운암로 13-6",127.0756038,37.1472682
"2","궐동공영주차장","오산시 대호로 62번길 63-11",127.0547948,37.157283
"3","어울림(복개천)공영주차장","오산시 원동 772-15,16",127.0717571,37.1441618
"4","시청부설주차장 ","오산시 성호대로 141",127.0770233,37.1497727
"5","오산역환승주차장 ","오산시 성호대로 40번길 26~27",127.0652936,37.1478039
"6","오산역 제2환승주차장","오산시 오산동 679-1",127.067193,37.1438601
"7","오색시장 제1공영주차장","오산시 오산로 272번길 10",127.0712881,37.1511407
"8","오산대역환승주차장","오산시 수청동 600",127.0645675,37.1657467
"9","세마역환승주차장 ","오산시 세교동 592-1",127.0356719,37.1899532
"10","오색시장 제2공영주차장","오산시 오산동 316-47",127.0709423,37.1534422
"11","문화의거리 임시공영주차장","오산시 오산동 881-1",127.068047,37.1457186
"12","문화의거리 제2공영주차장","오산시 원동 763-15",127.0708046,37.1458358
"13","원동복개도로 ","오산시 원동 772-16",127.0717571,37.1441618
"14","철도변노상주차장 ","오산시 역광장로 88번길",127.0681118,37.1481431
